feature_id,coherence_score,top_words
10261,0.6793321548748883,"Ġcancer, ĠCancer, cancer, Ġgland, Ġcancers"
11352,0.6675065420493554,"iatric, ĠPatients, ysis, iovascular, icter"
2968,0.6649067615514964,"Ġtumors, Ġtumor, Ġcancer, Ġmetast, Ġcancers"
1843,0.6588126737364093,"Ġdisorder, ĠDisorder, Ġdisorders, Ġschizophren, Ġschizophrenia"
12490,0.6418133414784739,"ĠPatients, Ġpatients, olesterol, iovascular, Ġphysicians"
23756,0.6373276405145887,"Ġpractitioner, Ġpatient, Ġanesthesia, ĠCanaver, ĠPatient"
10328,0.6293695931026163,"Ġvaccine, Ġvaccines, ĠVacc, Ġinfected, Ġantiv"
4415,0.6196369928713971,"Ġoutbreak, ĠOutbreak, ĠDiseases, Ġdisease, Ġridden"
9889,0.609136630360152,"ĠSurgery, Ġsurgeons, Ġsurgical, Ġanesthesia, urgical"
14301,0.6064277260990515,"Ġinflammation, Ġpulmonary, iovascular, ysis, Ġasthma"
16635,0.592423161625857,"Ġacute, ptoms, ãĥ¥, Ġexacerb, Ġdisease"
21601,0.5605996279112802,"Ġoutbreak, ĠOutbreak, Ġridden, Ġdisease, Ġdiagnosed"
9688,0.5603933406146527,"Ġphysician, Ġphysicians, Ġpsychiatrists, Ġpsychiatrist, Ġmedical"
1663,0.5518069181489789,"ĠSurgery, Ġsurgeries, Ġsurgery, Doctors, Ġamput"
19990,0.5436601347041685,"clerosis, algia, AIDS, culosis, rosis"
12256,0.5335232994806127,"AIDS, Ġinfection, ĠHIV, ĠGutenberg, Ġvirus"
19833,0.5161902257091283,"Ġcancer, cancer, Ġtumors, Ġcancers, ous"
23851,0.5135736362816835,"Ġworsen, Ġdisorders, Ġdiagnosis, Ġpatients, Ġdisorder"
19266,0.5127636160096314,"Ġglands, Ġgland, Ġdysfunction, Ġabnormalities, ysis"
19570,0.5084673104836177,"Ġcancer, cancer, ous, ĠCancer, Ġtumors"
3160,0.5016417943640193,"Ġinfection, Ġinfect, Ġvirus, ĠInfect, Ġoutbreak"
17556,0.48433192718898044,"itary, Ġdisabilities, Ġdisorders, Ġillness, health"
19350,0.4752983346490661,"otherapy, ĠTherapy, Ġtreatments, Ġtherapy, Ġtherapies"
16593,0.4743887514450351,"Ġprescribing, Ġexaminer, Ġpractitioner, ĠDoctors, doctor"
2075,0.4739098987956887,"Ġinflammation, Ġintestinal, Ġinflammatory, Ġpulmonary, Ġvascular"
21474,0.4631128356629768,"Ġcomplications, Ġcomplication, ĠSurgery, Ġmortality, Ġdiagnosis"
11372,0.4630665335681847,"Ġseverity, Ġwinters, Ġdistress, Ġsevere, Ġmild"
15665,0.45735074328887476,"Ġprofessionals, Ġdoctors, Ġexaminer, Doctors, Ġphysician"
22225,0.456813668109224,"Ġpatient, ĠPatients, Ġpatients, ĠPatient, ele"
213,0.4541775095098044,"doctor, sonian, ĠDoctors, Downloadha, Ġdoctor"
22505,0.4539155588776219,"oresc, Ġpand, Ġinfluenza, orescence, Ġvaccinations"
21103,0.45312091718775793,"otherapy, Ġtreatments, Ġchemotherapy, MET, ĠClinic"
4568,0.4445128897065963,"Ġdiagnoses, Ġdiagnosis, ĠDiagn, Ġdiagnosed, diagn"
12427,0.4421124330621572,"Ġspine, Ġcavity, Ġtendon, Ġmarrow, Ġtissues"
15025,0.4317044048771186,"bone, Ġbreast, plate, Ġbreasts, ĠBreast"
12846,0.4292905948101862,"ptoms, Ġsymptoms, ĠSymptoms, Ġsymptom, fixes"
16330,0.42899410294852297,"ĠPatient, ĠPatients, ele, Ġpatient, Ġpatients"
